silhouette_score,davies_bouldin_score,calinski_harabasz_score,feature,method,codebook_size,feature_space
0.3273361027240753,1.3393923655280175,1275.8714948781799,SIFT,kmeans,50,raw
0.30371972918510437,1.4179403992073865,1155.3381185938072,SIFT,kmeans,100,raw
0.2761237323284149,1.519173743772955,1020.7523554216446,SIFT,kmeans,200,raw
0.3402327299118042,1.2915196253700496,1361.5232738374064,SIFT,kmeans,200,pca
0.3259091377258301,1.3138622678954146,1269.7095677771042,SIFT,gmm,200,pca
0.29011809825897217,1.4702439943859047,1079.6358132925886,SURF,kmeans,50,raw
0.266449511051178,1.5571960138509717,972.1834943598637,SURF,kmeans,100,raw
0.24493154883384705,1.646778363458069,872.3269812624878,SURF,kmeans,200,raw
0.3165423274040222,1.37358422721392,1211.4946023395398,SURF,kmeans,200,pca
0.2951558530330658,1.4791946371612006,1047.482893527336,SURF,gmm,200,pca
