filename,filepath,day,domain,cut_code,seq_number,parsed_ok,label,foreground_ratio,segmentation_fallback,image_shape
DAY-1_RPH_HDM_001.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_001.JPG,DAY-1,RPH,HDM,1,True,,0.06721666666666666,False,"(212, 225)"
DAY-1_RPH_HDM_003.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_003.JPG,DAY-1,RPH,HDM,3,True,,0.0600375,False,"(195, 217)"
DAY-1_RPH_HDM_004.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_004.JPG,DAY-1,RPH,HDM,4,True,,0.06025833333333333,False,"(196, 219)"
DAY-1_RPH_HDM_005.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_005.JPG,DAY-1,RPH,HDM,5,True,,0.06902708333333334,False,"(172, 259)"
DAY-1_RPH_HDM_006.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_006.JPG,DAY-1,RPH,HDM,6,True,,0.07232916666666667,False,"(173, 260)"
DAY-1_RPH_HDM_007.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_007.JPG,DAY-1,RPH,HDM,7,True,,0.0702,False,"(175, 272)"
DAY-1_RPH_HDM_008.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_008.JPG,DAY-1,RPH,HDM,8,True,,0.071275,False,"(177, 263)"
DAY-1_RPH_HDM_009.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_009.JPG,DAY-1,RPH,HDM,9,True,,0.07645208333333334,False,"(192, 254)"
DAY-1_RPH_HDM_010.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_010.JPG,DAY-1,RPH,HDM,10,True,,0.07653958333333333,False,"(193, 251)"
DAY-1_RPH_HDM_011.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_011.JPG,DAY-1,RPH,HDM,11,True,,0.053635416666666665,False,"(167, 194)"
DAY-1_RPH_HDM_012.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_012.JPG,DAY-1,RPH,HDM,12,True,,0.05801875,False,"(179, 213)"
DAY-1_RPH_HDM_013.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_013.JPG,DAY-1,RPH,HDM,13,True,,0.076075,False,"(209, 258)"
DAY-1_RPH_HDM_014.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_014.JPG,DAY-1,RPH,HDM,14,True,,0.07596875,False,"(204, 264)"
DAY-1_RPH_HDM_015.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_015.JPG,DAY-1,RPH,HDM,15,True,,0.058077083333333335,False,"(188, 210)"
DAY-1_RPH_HDM_016.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_016.JPG,DAY-1,RPH,HDM,16,True,,0.059504166666666664,False,"(181, 223)"
DAY-1_RPH_HDM_017.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_017.JPG,DAY-1,RPH,HDM,17,True,,0.06647291666666667,False,"(183, 223)"
DAY-1_RPH_HDM_018.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_018.JPG,DAY-1,RPH,HDM,18,True,,0.06970416666666666,False,"(180, 235)"
DAY-1_RPH_HDM_019.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_019.JPG,DAY-1,RPH,HDM,19,True,,0.04888541666666667,False,"(191, 166)"
DAY-1_RPH_HDM_020.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_020.JPG,DAY-1,RPH,HDM,20,True,,0.049833333333333334,False,"(189, 212)"
DAY-1_RPH_HDM_021.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_021.JPG,DAY-1,RPH,HDM,21,True,,0.055877083333333334,False,"(178, 183)"
DAY-1_RPH_HDM_023.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_023.JPG,DAY-1,RPH,HDM,23,True,,0.05058541666666667,False,"(178, 170)"
DAY-1_RPH_HDM_024.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_024.JPG,DAY-1,RPH,HDM,24,True,,0.053197916666666664,False,"(188, 167)"
DAY-1_RPH_HDM_025.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_025.JPG,DAY-1,RPH,HDM,25,True,,0.06109166666666667,False,"(178, 208)"
DAY-1_RPH_HDM_027.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_027.JPG,DAY-1,RPH,HDM,27,True,,0.06706666666666666,False,"(183, 223)"
DAY-1_RPH_HDM_028.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_028.JPG,DAY-1,RPH,HDM,28,True,,0.062375,False,"(174, 210)"
DAY-1_RPH_HDM_029.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_029.JPG,DAY-1,RPH,HDM,29,True,,0.0787125,False,"(199, 230)"
DAY-1_RPH_HDM_030.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_030.JPG,DAY-1,RPH,HDM,30,True,,0.08121458333333334,False,"(212, 266)"
DAY-1_RPH_HDM_031.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_031.JPG,DAY-1,RPH,HDM,31,True,,0.07007291666666667,False,"(186, 226)"
DAY-1_RPH_HDM_032.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_032.JPG,DAY-1,RPH,HDM,32,True,,0.06964583333333334,False,"(190, 221)"
DAY-1_RPH_HDM_033.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_033.JPG,DAY-1,RPH,HDM,33,True,,0.06897083333333333,False,"(211, 197)"
DAY-1_RPH_HDM_034.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_034.JPG,DAY-1,RPH,HDM,34,True,,0.07296875,False,"(200, 208)"
DAY-1_RPH_HDM_035.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_035.JPG,DAY-1,RPH,HDM,35,True,,0.07746666666666667,False,"(207, 222)"
DAY-1_RPH_HDM_036.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_036.JPG,DAY-1,RPH,HDM,36,True,,0.07885416666666667,False,"(212, 227)"
DAY-1_RPH_HDM_037.JPG,/home/tsaga/projects/beefresearch-bima/data/dataset_root/DAY-1/DAY-1_RPH_HDM_037.JPG,DAY-1,RPH,HDM,37,True,,0.0793125,False,"(177, 265)"
